round,dataset,client_id,bbox_pred_class_global,bbox_pred_class_local,silhouette_global,silhouette_local,acc_superTree_localTest,prec_superTree_localTest,rec_superTree_localTest,f1_superTree_localTest,acc_superTree_globalTest,prec_superTree_globalTest,rec_superTree_globalTest,f1_superTree_globalTest,acc_localTree_localTest,prec_localTree_localTest,rec_localTree_localTest,f1_localTree_localTest,acc_localTree_globalTest,prec_localTree_globalTest,rec_localTree_globalTest,f1_localTree_globalTest,acc_rf_localTest,fidelity_localtree_rf_localTest,acc_rf_globalTest,fidelity_localtree_rf_globalTest,fidelity_supertree_rf_globalTest,jaccard_cov_globalZ,covL_globalZ,covG_globalZ,covInter_globalZ,covUnion_globalZ,jaccard_cov_localZ,covL_localZ,covG_localZ,covInter_localZ,covUnion_localZ
3,pablopalacios23/Diabetes,3,Yes,No,0.503566681843752,0.10123181384613276,0.7954545454545454,0.7929292929292928,0.7954545454545454,0.7810884767406506,0.7662337662337663,0.7611699703804967,0.7662337662337663,0.756472201491092,0.7045454545454546,0.6991879088653282,0.7045454545454546,0.7014958326433736,0.7662337662337663,0.7629170829170829,0.7662337662337663,0.7640300875594993,0.7045454545454546,0.9090909090909091,0.7922077922077922,0.8311688311688312,0.8831168831168831,0.3826086956521739,0.95,0.375,0.36666666666666664,0.9583333333333334,0.5,0.525,0.8,0.44166666666666665,0.8833333333333333
3,pablopalacios23/Diabetes,3,Yes,No,0.46483155675891713,0.34136294559213953,0.7954545454545454,0.7929292929292928,0.7954545454545454,0.7810884767406506,0.7662337662337663,0.7611699703804967,0.7662337662337663,0.756472201491092,0.7045454545454546,0.6991879088653282,0.7045454545454546,0.7014958326433736,0.7662337662337663,0.7629170829170829,0.7662337662337663,0.7640300875594993,0.7045454545454546,0.9090909090909091,0.7922077922077922,0.8311688311688312,0.8831168831168831,0.4,1.0,0.4,0.4,1.0,0.37272727272727274,0.9166666666666666,0.3416666666666667,0.3416666666666667,0.9166666666666666
3,pablopalacios23/Diabetes,3,Yes,No,0.601974081205637,0.5325514584183567,0.7954545454545454,0.7929292929292928,0.7954545454545454,0.7810884767406506,0.7662337662337663,0.7611699703804967,0.7662337662337663,0.756472201491092,0.7045454545454546,0.6991879088653282,0.7045454545454546,0.7014958326433736,0.7662337662337663,0.7629170829170829,0.7662337662337663,0.7640300875594993,0.7045454545454546,0.9090909090909091,0.7922077922077922,0.8311688311688312,0.8831168831168831,0.4485981308411215,0.8916666666666667,0.4,0.4,0.8916666666666667,0.4953271028037383,0.5166666666666667,0.8166666666666667,0.44166666666666665,0.8916666666666667
3,pablopalacios23/Diabetes,3,Yes,No,0.5338589575788665,0.0440083222251328,0.7954545454545454,0.7929292929292928,0.7954545454545454,0.7810884767406506,0.7662337662337663,0.7611699703804967,0.7662337662337663,0.756472201491092,0.7045454545454546,0.6991879088653282,0.7045454545454546,0.7014958326433736,0.7662337662337663,0.7629170829170829,0.7662337662337663,0.7640300875594993,0.7045454545454546,0.9090909090909091,0.7922077922077922,0.8311688311688312,0.8831168831168831,0.38181818181818183,0.9083333333333333,0.35833333333333334,0.35,0.9166666666666666,0.7321428571428571,0.4583333333333333,0.35,0.3416666666666667,0.4666666666666667
3,pablopalacios23/Diabetes,3,Yes,No,0.3618244826702846,0.5933184988237504,0.7954545454545454,0.7929292929292928,0.7954545454545454,0.7810884767406506,0.7662337662337663,0.7611699703804967,0.7662337662337663,0.756472201491092,0.7045454545454546,0.6991879088653282,0.7045454545454546,0.7014958326433736,0.7662337662337663,0.7629170829170829,0.7662337662337663,0.7640300875594993,0.7045454545454546,0.9090909090909091,0.7922077922077922,0.8311688311688312,0.8831168831168831,0.48739495798319327,0.975,0.5,0.48333333333333334,0.9916666666666667,0.4406779661016949,0.475,0.9416666666666667,0.43333333333333335,0.9833333333333333
3,pablopalacios23/Diabetes,3,No,No,0.3435576484847552,0.4929078136730359,0.7954545454545454,0.7929292929292928,0.7954545454545454,0.7810884767406506,0.7662337662337663,0.7611699703804967,0.7662337662337663,0.756472201491092,0.7045454545454546,0.6991879088653282,0.7045454545454546,0.7014958326433736,0.7662337662337663,0.7629170829170829,0.7662337662337663,0.7640300875594993,0.7045454545454546,0.9090909090909091,0.7922077922077922,0.8311688311688312,0.8831168831168831,0.40336134453781514,0.9833333333333333,0.4083333333333333,0.4,0.9916666666666667,0.7540983606557377,0.5,0.39166666666666666,0.38333333333333336,0.5083333333333333
3,pablopalacios23/Diabetes,3,Yes,No,0.2920084978585975,0.5115642725778552,0.7954545454545454,0.7929292929292928,0.7954545454545454,0.7810884767406506,0.7662337662337663,0.7611699703804967,0.7662337662337663,0.756472201491092,0.7045454545454546,0.6991879088653282,0.7045454545454546,0.7014958326433736,0.7662337662337663,0.7629170829170829,0.7662337662337663,0.7640300875594993,0.7045454545454546,0.9090909090909091,0.7922077922077922,0.8311688311688312,0.8831168831168831,0.4444444444444444,0.95,0.4583333333333333,0.43333333333333335,0.975,0.5339805825242718,0.49166666666666664,0.825,0.4583333333333333,0.8583333333333333
3,pablopalacios23/Diabetes,3,Yes,No,0.47353858486874867,0.4905512414773855,0.7954545454545454,0.7929292929292928,0.7954545454545454,0.7810884767406506,0.7662337662337663,0.7611699703804967,0.7662337662337663,0.756472201491092,0.7045454545454546,0.6991879088653282,0.7045454545454546,0.7014958326433736,0.7662337662337663,0.7629170829170829,0.7662337662337663,0.7640300875594993,0.7045454545454546,0.9090909090909091,0.7922077922077922,0.8311688311688312,0.8831168831168831,0.45217391304347826,0.9583333333333334,0.43333333333333335,0.43333333333333335,0.9583333333333334,0.7777777777777778,0.525,0.4083333333333333,0.4083333333333333,0.525
3,pablopalacios23/Diabetes,3,Yes,No,0.3622050274178459,0.06808969152580664,0.7954545454545454,0.7929292929292928,0.7954545454545454,0.7810884767406506,0.7662337662337663,0.7611699703804967,0.7662337662337663,0.756472201491092,0.7045454545454546,0.6991879088653282,0.7045454545454546,0.7014958326433736,0.7662337662337663,0.7629170829170829,0.7662337662337663,0.7640300875594993,0.7045454545454546,0.9090909090909091,0.7922077922077922,0.8311688311688312,0.8831168831168831,0.6,0.5083333333333333,0.425,0.35,0.5833333333333334,0.6086956521739131,0.43333333333333335,0.49166666666666664,0.35,0.575
3,pablopalacios23/Diabetes,3,No,No,0.5616107403055586,0.8087751799618779,0.7954545454545454,0.7929292929292928,0.7954545454545454,0.7810884767406506,0.7662337662337663,0.7611699703804967,0.7662337662337663,0.756472201491092,0.7045454545454546,0.6991879088653282,0.7045454545454546,0.7014958326433736,0.7662337662337663,0.7629170829170829,0.7662337662337663,0.7640300875594993,0.7045454545454546,0.9090909090909091,0.7922077922077922,0.8311688311688312,0.8831168831168831,0.36666666666666664,1.0,0.36666666666666664,0.36666666666666664,1.0,0.8181818181818182,0.9166666666666666,0.75,0.75,0.9166666666666666
